"Number_of_reads_in_clusters"	2995594
"Number_of_clusters"	326414
"Number_of_superclusters"	326347
"Number_of_singlets"	905488
"Number_of_analyzed_reads"	3901082

"Cluster"	"Supercluster"	"Size"	"Size_adjusted"	"Automatic_annotation"	"TAREAN_annotation"	"Final_annotation"
10	1	45872	45872	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
112	1	3031	3031	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
115	1	2598	2598	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
12	1	32826	32826	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
13	1	31959	31959	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
14	1	31891	31891	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
15	1	26986	26986	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
16	1	26583	26583	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
18	1	25737	25737	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
2	1	71490	71490	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
24	1	22513	22513	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
26	1	22090	22090	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
30	1	20086	20086	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
32	1	17897	17897	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
34	1	17229	17229	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
35	1	17063	17063	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
36	1	16643	16643	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
38	1	15765	15765	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
40	1	15657	15657	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
4	1	55685	55685	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
46	1	13488	13488	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
48	1	13033	13033	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
50	1	12162	12162	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
52	1	11773	11773	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
58	1	10458	10458	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
68	1	8834	8834	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
74	1	7821	7821	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
75	1	7590	7590	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
8	1	47956	47956	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
9	1	46855	46855	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
1	2	145354	145354	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
5	2	51001	51001	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
45	3	13665	13665	"All/organelle/plastid"	"Other"	""
51	3	12029	12029	"All/organelle/plastid"	"Other"	""
55	3	11647	11647	"All/organelle/plastid"	"Other"	""
57	3	10856	10856	"All/organelle/plastid"	"Other"	""
60	3	10337	10337	"All/organelle/plastid"	"Other"	""
63	3	9871	9871	"All/organelle/plastid"	"Other"	""
65	3	9497	9497	"All/organelle/plastid"	"Other"	""
66	3	9288	9288	"All/organelle/plastid"	"Other"	""
67	3	8982	8982	"All/organelle/plastid"	"Other"	""
70	3	8235	8235	"All/organelle/plastid"	"Other"	""
76	3	7374	7374	"All/organelle/plastid"	"Other"	""
83	3	6468	6468	"All/organelle/plastid"	"Other"	""
84	3	6349	6349	"All/organelle/plastid"	"Other"	""
85	3	6348	6348	"All/organelle/plastid"	"Other"	""
87	3	5818	5818	"All/organelle/plastid"	"Other"	""
89	3	5404	5404	"All/organelle/plastid"	"Other"	""
90	3	5179	5179	"All/organelle/plastid"	"Other"	""
19	4	25698	25698	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
22	4	25032	25032	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
3	4	57841	57841	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Putative satellites (low confidence)"	""
49	4	12191	12191	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
71	4	8147	8147	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
86	4	6085	6085	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
105	5	3714	3714	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	""
23	5	24459	24459	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	""
33	5	17338	17338	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	""
41	5	14892	14892	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	""
