"Number_of_reads_in_clusters"	1127957
"Number_of_clusters"	117433
"Number_of_superclusters"	117355
"Number_of_singlets"	580465
"Number_of_analyzed_reads"	1708422

"Cluster"	"Supercluster"	"Size"	"Size_adjusted"	"Automatic_annotation"	"TAREAN_annotation"	"Final_annotation"
101	1	2538	2538	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
10	1	15472	15472	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
121	1	1432	1432	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
12	1	13106	13106	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
13	1	12371	12371	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
14	1	11045	11045	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
16	1	10580	10580	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
18	1	10468	10468	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
21	1	9648	9648	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
22	1	9512	9512	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
23	1	9428	9428	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
24	1	9357	9357	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
25	1	9138	9138	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
30	1	8218	8218	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
38	1	7164	7164	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
41	1	6396	6396	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
4	1	18094	18094	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
45	1	5928	5928	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
47	1	5513	5513	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
52	1	5040	5040	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
54	1	4839	4839	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
66	1	3878	3878	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
81	1	3494	3494	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
8	1	15938	15938	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
87	1	3040	3040	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
100	2	2541	2541	"All/organelle/plastid"	"Other"	""
106	2	2264	2264	"All/organelle/plastid"	"Other"	""
109	2	1981	1981	"All/organelle/plastid"	"Other"	""
110	2	1883	1883	"All/organelle/plastid"	"Other"	""
124	2	1388	1388	"All/organelle/plastid"	"Other"	""
49	2	5348	5348	"All/organelle/plastid"	"Other"	""
55	2	4768	4768	"All/organelle/plastid"	"Other"	""
56	2	4610	4610	"All/organelle/plastid"	"Other"	""
60	2	4285	4285	"All/organelle/plastid"	"Other"	""
63	2	4215	4215	"All/organelle/plastid"	"Other"	""
64	2	4134	4134	"All/organelle/plastid"	"Other"	""
69	2	3815	3815	"All/organelle/plastid"	"Other"	""
70	2	3797	3797	"All/organelle/plastid"	"Other"	""
71	2	3747	3747	"All/organelle/plastid"	"Other"	""
72	2	3699	3699	"All/organelle/plastid"	"Other"	""
73	2	3658	3658	"All/organelle/plastid"	"Other"	""
74	2	3641	3641	"All/organelle/plastid"	"Other"	""
