"Number_of_reads_in_clusters"	554666
"Number_of_clusters"	163010
"Number_of_superclusters"	162999
"Number_of_singlets"	35642
"Number_of_analyzed_reads"	590308

"Cluster"	"Supercluster"	"Size"	"Size_adjusted"	"Automatic_annotation"	"TAREAN_annotation"	"Final_annotation"
10	1	2635	2635	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"
17	1	2251	2251	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"
18	1	2246	2246	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"
23	1	2036	2036	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"
27	1	1839	1839	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"
20	2	2209	2209	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"
21	2	2178	2178	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"
5	2	4131	4131	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"
57	2	983	983	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"
2	3	5169	5169	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"
4	3	4273	4273	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"
1	4	5546	5546	"All"	"Other"	"All"
15	4	2464	2464	"All"	"Other"	"All"
3	5	4343	4343	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
6	6	3764	3764	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
22	7	2085	2085	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
37	7	1473	1473	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
33	8	1685	1685	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
39	8	1444	1444	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
7	9	3100	3100	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
8	10	2899	2899	"All"	"Other"	"All"
9	11	2835	2835	"All"	"Other"	"All"
11	12	2586	2586	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
12	13	2585	2585	"All"	"Other"	"All"
13	14	2581	2581	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
14	15	2489	2489	"All/repeat/satellite"	"Putative satellites (low confidence)"	"All/repeat/satellite"
16	16	2322	2322	"All"	"Other"	"All"
19	17	2218	2218	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
24	18	1969	1969	"All/repeat/mobile_element/Class_I/LINE"	"Other"	"All/repeat/mobile_element/Class_I/LINE"
25	19	1961	1961	"All"	"Other"	"All"
26	20	1856	1856	"All"	"Other"	"All"
28	21	1811	1811	"All"	"Other"	"All"
29	22	1778	1778	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
30	23	1737	1737	"All"	"Other"	"All"
31	24	1707	1707	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
32	25	1699	1699	"All"	"Other"	"All"
34	26	1594	1594	"All"	"Other"	"All"
35	27	1570	1570	"All"	"Other"	"All"
36	28	1505	1505	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
38	29	1470	1470	"All"	"Other"	"All"
40	30	1394	1394	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"
41	31	1391	1391	"All"	"Other"	"All"
42	32	1326	1326	"All/repeat/mobile_element/Class_I/LTR"	"Other"	"All/repeat/mobile_element/Class_I/LTR"
43	33	1273	1273	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
44	34	1245	1245	"All"	"Other"	"All"
45	35	1239	1239	"All"	"Other"	"All"
46	36	1215	1215	"All"	"Other"	"All"
47	37	1180	1180	"All"	"Other"	"All"
48	38	1143	1143	"All"	"Other"	"All"
49	39	1131	1131	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	"All/repeat/mobile_element/Class_I/pararetrovirus"
50	40	1117	1117	"All"	"Other"	"All"
51	41	1104	1104	"All"	"Other"	"All"
52	42	1084	1084	"All"	"Other"	"All"
53	43	1080	1080	"All"	"Other"	"All"
54	44	1075	1075	"All"	"Other"	"All"
55	45	1067	1067	"All"	"Other"	"All"
56	46	1040	1040	"All"	"Other"	"All"
58	47	951	951	"All/repeat/rDNA/45S_rDNA/18S_rDNA"	"Other"	"All/repeat/rDNA/45S_rDNA/18S_rDNA"
59	48	951	951	"All/repeat/mobile_element/Class_I/pararetrovirus"	"Other"	"All/repeat/mobile_element/Class_I/pararetrovirus"
60	49	934	934	"All"	"Other"	"All"
61	50	934	934	"All"	"Other"	"All"
62	51	922	922	"All"	"Other"	"All"
63	52	903	903	"All"	"Other"	"All"
64	53	863	863	"All"	"Other"	"All"
65	54	836	836	"All"	"Other"	"All"
66	55	835	835	"All"	"Other"	"All"
67	56	829	829	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"
68	57	805	805	"All/repeat/mobile_element/Class_I/LINE"	"Other"	"All/repeat/mobile_element/Class_I/LINE"
69	58	800	800	"All"	"Other"	"All"
70	59	800	800	"All"	"Other"	"All"
71	60	784	784	"All"	"Other"	"All"
72	61	776	776	"All"	"Other"	"All"
73	62	759	759	"All"	"Other"	"All"
74	63	756	756	"All"	"Other"	"All"
75	64	749	749	"All"	"Other"	"All"
76	65	734	734	"All"	"Other"	"All"
77	66	709	709	"All"	"Other"	"All"
78	67	684	684	"All"	"Other"	"All"
79	68	650	650	"All"	"Other"	"All"
80	69	639	639	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"
81	70	629	629	"All"	"Other"	"All"
